県,エリア,サロン名,URL,住所,アクセス,カット料金,セット面の数,ブログ投稿数,口コミ数,スタッフ数,1番人気クーポン名,1番人気クーポン価格,2番人気クーポン名,2番人気クーポン価格,3番人気クーポン名,3番人気クーポン価格,クーポン数,メニュー数,スタイル数,ブログ数,口コミスコアサロン全平均,雰囲気の全平均,接客サービスの全平均,技術・仕上がりの全平均,メニュー。料金の全平均,名前,投稿日時,総合,雰囲気,接客サービス,技術・仕上がり,メニュー・料金,口コミ本文,選択されたクーポン,メニューの種類,コメントへの返信,初回予約金額最小,初回予約金額最大,2回目以降予約金額最小,2回目以降予約金額最大,性別,年齢,職業,駅徒歩,カット選択,カラー選択,トリートメント選択,パーマ選択,縮毛矯正選択,その他選択,ヘッドスパ選択,ヘアセット選択,エクステ選択,着付け選択,メニュー無し選択,イルミナメニュー化の有無,Aujuaメニュー化の有無,支出金額
広島,安佐南区,PROSOL Rita　西風新都こころ　【プロッソル リタ 】,https://beauty.hotpepper.jp/slnH000172952/?cstt=52,広島県広島市佐伯区石内北２-4-11,バス停枝垂桜通り徒歩1分 【髪質改善 ハイライト 白髪染め グレイカラー ヘッドスパ】,5280,12,713,409,6,【梅雨対策に！】極上の手触り髪質改善ストレートパーマ＋似合わせカット,18744,【梅雨対策に！】極上の手触り髪質改善ストレートパーマ＋似合わせカット,23430,【梅雨対策に」！】似合わせカット+ストレートパーマ,15664,32,35,33,713,4.56,4.6,4.6,4.6,4.1,nanaさん,2022-01-09,5,5,5,5,5,受付の方がとてもきれいで、接客がすばらしく、スタイリストの方も対応も技術もとても良かったです。ヘッドスパも大変気持ちよかったです。いたせりつくせりで、ありがとうございました。,【人気】似合わせカット+オーガニックカラー,カット、カラー,有,9000,9999,9000,9999,女性,40代,会社員,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
徳島,徳島市内,zeze【ゼゼ】,https://beauty.hotpepper.jp/slnH000083759/?cstt=24,徳島県徳島市沖浜東２－10－1,徳島市沖浜東2-10-1文理大学近く/ダブルカラー/髪質改善トリートメント/縮毛矯正,3300,9,1191,4098,13,美容学生様限定　ALLメニュー50%OFF,50％オフ,【ツヤ髪No.1】カット＋超音波ケアプロ髪質改善トリートメント（90分）,8980,"小顔似合わせカット+超音波ケアプロTR＋リラックススパ（10分）¥9,900",9900,48,28,52,1191,4.71,4.7,4.8,4.7,4.5,しほちゃんさん,2023-02-06,4,4,4,4,4,髪の毛のダメージのことをいつも考えてくれて、助かっています。ありがとうございました。,【相談したい♪】選べるカラー＋カット+４STEP髪質改善トリートメント120分,カット、カラー、縮毛矯正、トリートメント,有,8000,8999,7000,7999,女性,30代前半,不明,10000,1,1,1,0,1,0,0,0,0,0,0,0,0,0
広島,袋町・中町・三川町・並木通り,Akari Hair Studio【アカリヘアースタジオ】,https://beauty.hotpepper.jp/slnH000143097/?cstt=70,広島県広島市中区新天地４－８　３Ｆ,パルコ本館・アリスガーデンから徒歩1分（マリオデザートのビル3F）,4400,3,0,139,3,【ご新規の方限定♪】カット+クレンジング+炭酸泉¥6050→¥4840,4840,【ご新規の方限定♪】ナノミストカラー+カット+炭酸泉¥12650→¥10120,10120,【ご新規の方限定♪】ナノミスト白髪染め+カット+炭酸泉¥13750→¥11000,11000,10,33,4,0,4.97,5.0,5.0,5.0,4.8,てっちゃんさん,2021-10-29,5,5,5,5,5,"落ち着いた雰囲気の店でリラックスして散髪してもらえます。
頭皮のクレンジングが気持ち良いのでオススメです！",カット＆スキャルプ（クレンジング＆マッサージ）＆炭酸泉,カット、その他,無,9000,9999,10000,10999,男性,30代前半,会社員,10000,1,0,0,0,0,1,0,0,0,0,0,0,0,0
広島,府中・海田・安芸区,SUMIS,https://beauty.hotpepper.jp/slnH000531752/?cstt=39,広島県安芸郡海田町砂走１０ー１３,JR安芸中野駅・ 徒歩10分,4950,1,12,46,1,カラー+カット+オーガニックトリートメント￥14300→￥13750,13750,カラー+カット+ケラチントリートメント¥15400→¥14850,14850,デザインパーマ＋ケラチントリートメント￥13200→¥12760,12750,5,39,0,12,5.0,4.9,4.9,5.0,4.8,まりさん,2021-06-02,5,5,5,5,5,とても丁寧にカウンセリングして頂き安心して、お願いすることが出来ます。最後まで責任を持って施術して下さり本当にありがとうございました。お店の雰囲気も素敵で、とても癒されました。是非これからも定期的にお願いします。本当にありがとうございました。,【NEWOPEN限定】カット￥4950→￥3960,カット,有,9000,9999,8000,8999,女性,50代,パート・アルバイト,10,1,0,0,0,0,0,0,0,0,0,0,0,0,3960
高松・香川,高松市郊外,storia.f 郷東店【ストーリア　エフ】,https://beauty.hotpepper.jp/slnH000313734/?cstt=20,香川県高松市郷東町134-9,ミラクルタウンと郷東川の間、白洋舎のヨコ,3850,10,3533,474,8,【平日9時限定】★人気No1★小顔カット＋毛髪修復カラー＋オリジナルTr,9400,【平日15時限定】★人気No1★小顔カット＋毛髪修復カラー＋オリジナルTr,9400,【まずは手軽に】毛髪修復カラー,4950,32,59,10,3533,4.64,4.5,4.7,4.7,4.4,ショコラさん,2023-02-28,4,4,4,4,4,プランの変更にも柔軟に対応して頂きありがとうございました。いつも、ヘアカラー後なのに、髪がツルツルさらさらがしばらく続くのに、今回、旅先で、温泉で洗ったせいか、若干、きしんでしまったので、やっぱり、ヘアカラー後は、1日？2日？は、そのまま洗髪しない方が良いのかな？？,クーポン利用なし,ヘッドスパ,有,7000,7999,9000,9999,女性,60代,主婦,10000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
高知,高知市,garbo hair【ガルボヘアー】,https://beauty.hotpepper.jp/slnH000094466/?cstt=44,高知県高知市はりまや町１－３－１９－３Ｆ,土電『はりまや橋』電停から徒歩1分　オススメ　高知美容室　高知カラー支持率トップ,5200,6,3308,262,13,"【髪質診断ケア♪】カラー+SNSで話題の♪髪質改善カクテルTr 18,480→13.860",13860,"【乾燥が気になる方】極艶カラー＋似合わせカット+ケアマスク 17,850→9240",9240,"【お悩みに合わせたケア♪】カラー＋カット＋oggiottoTr  18,150→14,700",14700,52,31,6935,3308,4.69,4.6,4.8,4.7,4.5,こゆさん,2023-03-18,5,5,5,5,5,初めて行きましたが、カウンセリングも丁寧で色落ちが綺麗になる色まで提案してくださり、最後の最後まで本当に丁寧でした。また帰省した際は担当していただこうと思います。大満足です＾＾,"【乾燥が気になる方】極艶カラー＋似合わせカット+ケアマスク 17,000→8,800",カット、カラー、トリートメント,有,12000,12999,12000,12999,女性,10代後半,学生,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,8800
松山・愛媛,市駅・大街道・勝山周辺,Hair Garden NICOMOCA【ニコモカ】,https://beauty.hotpepper.jp/slnH000156722/?cstt=44,愛媛県松山市千舟町４-1-2虎屋ビル２F,千舟通り・宝くじ売り場（竹村商店）より徒歩１分,4500,4,127,88,3,似合わせカット￥４５００,4500,メンズカット￥４０００,4000,カラー＋カット¥８５００～,8500,13,29,77,127,4.95,5.0,4.9,4.9,4.9,にわしさん,2021-06-04,5,5,5,5,5,"カラーとトリートメントをしてもらいました。
トリートメントの種類がいくつかあって、今回はホームケアつきの物にしましたがシャンプーとコンディショナーも一緒に頂けたので次回行くまでに家でもしっかりケアを頑張りたいです！
髪質改善トリートメントについても興味があったので詳しく説明して頂けて良かったです。今は髪の毛を下ろして過ごす時間がほとんどないことをお伝えしたところ秋以降にしませんか？と提案して頂いたので涼しい時期にしてもらおうと思います！勧誘という感じではなく、今の時期や私の普段の生活スタイルに合わせた提案をして下さるのがいつも嬉しいです！
ピンク系のカラー、職場で何人かから可愛いと褒められました！ありがとうございます！",カット+ダメージレスカラー\8000,カット、カラー、トリートメント,有,0,0,7000,7999,女性,30代後半,会社員,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,8000
広島,袋町・中町・三川町・並木通り,MiLi【ミリ】,https://beauty.hotpepper.jp/slnH000473799/?cstt=18,広島県広島市中区三川町7-16-ダイヤビル202,広島パルコから並木通りを南に、徒歩5分,5500,4,69,105,5,混雑状況に合わせたおすすめのご予約時間について,0,ご新規様専用　全メニュー、全クーポン１０%オフ,10％オフ,カラー・シャンプーブロー,9350,30,50,21,69,4.94,4.9,5.0,5.0,4.9,あやさん,2023-03-31,5,5,5,5,5,"やっぱりMiLiが1番です！
色落ち後のカラーはどんな感じが良いかなど色々と要望に応えて下さりありがとうございました！
またよろしくお願いします！",カット+ケアカラー+リペアトリートメント,カット、カラー、トリートメント,有,13000,13999,12000,12999,女性,20代前半,不明,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
岡山・倉敷,北長瀬・問屋町・下中野,SET-UP 岡山北長瀬店【セットアップ】,https://beauty.hotpepper.jp/slnH000289924/?cstt=21,岡山県岡山市北区北長瀬表町２-3-25,ユニクロ岡山中仙道店近く　　JR北長瀬駅徒歩8分,4950,6,159,177,5,【平日限定のお得クーポン】カット + カラー  ¥7700,7700,カット＋炭酸トリートメントスパ　￥6600,6600,【レディースショート】カット＋似合わせスタイリング ¥4950～,4950,38,25,156,159,4.73,4.8,4.8,4.7,4.6,ひろちんさん,2021-06-14,4,4,4,4,4,"今回もカラー調整して頂き、綺麗に染めてもらって
満足です^ ^",クーポン利用なし,カット、カラー、トリートメント,無,9000,9999,9000,9999,女性,50代,主婦,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0
広島,横川・十日市・舟入,SG【エスジー】,https://beauty.hotpepper.jp/slnH000563888/?cstt=4,広島県広島市中区西十日市町8-4 第10寺前ビル1F,広島電鉄横川線「十日市町」すぐ徒歩30秒/広島電鉄本線「十日市町」すぐ徒歩1分,3000,8,166,787,5,【透明感】アディクシーカラー＋カット　★処理剤トリートメント付き¥7900,7900,【女性限定】SGデザインカット＋シャンプー＋クイックトリートメント,4000,【メンズ限定】似合わせデザインカット＋炭酸シャンプー or 眉カット ¥4000,4000,36,25,190,166,4.72,4.6,4.7,4.7,4.7,ゆきさん,2022-06-22,5,5,5,5,5,"すごく綺麗に染めていただきありがとうございました！！
楽しくお話もしていただきまた行きたいと思います！",【ダブルカラー★】ケアブリーチ＋カラー（フル）＋カット \10500,カット、カラー,有,6000,6999,6000,6999,女性,10代後半,学生,10000,1,1,0,0,0,0,0,0,0,0,0,0,0,10500
